"Variable","Type","N_Missing","N_Unique"
"STUDYID","character",0,1
"STUDYIDN","numeric",0,1
"USUBJID","character",0,254
"USUBJIDN","numeric",0,254
"SUBJID","character",0,254
"SUBJIDN","numeric",0,254
"SITEID","character",0,17
"SITEIDN","numeric",0,17
"ARM","character",0,3
"ARMN","numeric",0,3
"ACTARM","character",0,3
"ACTARMN","numeric",0,3
"TRT01P","character",0,3
"TRT01PN","numeric",0,3
"TRT01A","character",0,3
"TRT01AN","numeric",0,3
"TRTSDT","Date",0,205
"TRTEDT","Date",4,212
"TRTDURD","numeric",4,117
"AGE","numeric",0,36
"AGEGR1","character",0,3
"AGEGR1N","numeric",0,3
"SEX","character",0,2
"SEXN","numeric",0,2
"RACE","character",0,3
"RACEN","numeric",0,3
"ETHNIC","character",0,2
"ETHNICN","numeric",0,2
"PARAMCD","character",0,2
"PARAM","character",0,2
"PARAMN","numeric",0,2
"PARCAT1","character",0,1
"PARCAT2","character",0,1
"AVAL","numeric",0,103
"AVALU","character",0,1
"AVALC","character",0,2
"STARTDT","Date",0,205
"ADT","Date",0,357
"CNSR","integer",0,2
"EVENT","numeric",0,2
"EVNTDESC","character",0,5
"SRCDOM","character",0,2
"SRCVAR","character",0,3
"SRCSEQ","integer",494,4
"ATPT","character",0,1
"ATPTN","numeric",0,1
"AVISIT","character",0,1
"AVISITN","numeric",0,1
"DOSE","numeric",0,3
"AUCSS","numeric",0,169
"CMAXSS","numeric",0,169
"CAVGSS","numeric",0,169
"CMINSS","numeric",0,169
"CLSS","numeric",172,169
"AUCSSLOG","numeric",0,169
"AUCSSSTD","numeric",172,169
"AUCSSN","numeric",172,169
"AUCSSDOSE","numeric",172,169
"CMAXSSLOG","numeric",0,169
"CMAXSSSTD","numeric",172,169
"CMAXSSDOSE","numeric",172,169
"CAVGSSLOG","numeric",0,169
"AUCSSCAT","character",172,4
"AUCSSCATN","numeric",172,4
"AUCSSQ","character",172,5
"AUCSSQN","numeric",172,5
"AUCSSMED","character",172,3
"WTBL","numeric",0,116
"WTBLGR1","character",0,2
"HTBL","numeric",0,53
"BMIBL","numeric",0,242
"BSABL","numeric",0,242
"CREATBL","numeric",0,13
"CRCLBL","numeric",0,254
"EGFRBL","numeric",0,185
"ALTBL","numeric",0,38
"ASTBL","numeric",0,33
"TBILBL","numeric",0,16
"ALBBL","numeric",0,15
"ANL01FL","character",0,2
"ANL02FL","character",0,2
"ANL03FL","character",0,1
"ANL04FL","character",0,1
"ASEQ","integer",0,2
